Close,High,Low,Open,Volume,fast_ma,slow_ma
72.53851318359375,72.59889150198023,71.29230380764884,71.54588979671196,135480400,,
71.83329772949219,72.59406313642577,71.60869213351766,71.76567430155144,146322800,,
72.40567779541016,72.44432080433776,70.7030121336898,70.95418800651902,118387200,,
72.06515502929688,72.67134838279743,71.84537704823941,72.41534488187352,108872000,,
73.22441101074219,73.52630260685811,71.76808624589498,71.76808624589498,132079200,,
74.77975463867188,74.97296230565743,73.9513658951312,74.20253438813242,170108400,,
74.94882202148438,75.51396965111952,74.44647758118805,75.01403533204297,140644800,,
76.55004119873047,76.57661149006776,75.1468497409281,75.26519625077637,121532000,,
75.51634979248047,76.69735294372674,75.39318306552475,76.4872376273451,161954400,,
75.19273376464844,76.19742976100052,74.76042298692015,75.31590787968373,121923600,73.90547561645508,
76.1346435546875,76.24574496948411,75.3738782015038,75.73614811924845,108829200,74.26508865356445,
76.97752380371094,76.97993392443253,76.07667669301796,76.38339587903954,137816400,74.77951126098633,
76.45584869384766,77.04755171377299,76.31818437718287,76.60558572443774,110843200,75.18452835083008,
76.72877502441406,77.28183515069573,76.63458130371416,76.94130052804331,101832400,75.6508903503418,
77.09828186035156,77.17797799443389,76.23366024847726,76.78190007438859,104472000,76.03827743530273,
76.87609100341797,78.08848500678306,76.68529344990502,77.34462735281411,146537600,76.24791107177734,
74.61551666259766,75.29657838161462,73.63255603039792,74.88359281479813,161940000,76.21458053588867,
76.72635650634766,76.89782887589077,75.39803343183497,75.4970547636558,162234000,76.23221206665039,
78.33241271972656,79.1801266517597,77.61753550777614,78.35898301190313,216229200,76.513818359375,
78.21890258789062,78.27203580279424,76.9823558087521,77.4146666313588,126743200,76.81643524169922,
74.75080108642578,77.93152785379012,74.45615449763523,77.50887948128576,199588400,76.67805099487305,
74.54549407958984,75.71200004458515,72.99014787932889,73.49249228699044,173788400,76.43484802246094,
77.00650024414062,77.19729777289353,75.7458008005722,76.15154128644726,136616400,76.48991317749024,
77.63444519042969,78.43385354098093,77.03066200298008,78.13437206813377,118826800,76.58048019409179,
78.54252624511719,78.54494373627665,77.34704001476739,77.90493506301061,105425600,76.72490463256835,
77.47493743896484,78.29076771071938,76.9835021703116,78.04141892687844,117684000,76.78478927612305,
77.84291076660156,77.84291076660156,75.97884915779663,76.05873445176091,109348800,77.10752868652344,
77.37326049804688,78.4118136218486,77.15538413187909,78.33919062909048,94323200,77.17221908569336,
79.21070098876953,79.21554005883662,77.82354276759801,77.82354276759801,113730400,77.26004791259766,
78.64665222167969,78.97347052474285,78.27868334448036,78.48203514934536,94747600,77.30282287597656,
78.66598510742188,78.91533382442148,78.1576021480164,78.61514163995746,80113600,77.69434127807617,
77.22557830810547,77.40714314738784,76.16281523598434,76.34438007526671,152531200,77.96234970092773,
78.3440170288086,78.57400211516978,77.46766524775612,77.46766524775612,93984000,78.09610137939453,
77.54029083251953,78.5933684199213,77.0343310134274,78.10435642626537,100566000,78.08668594360351,
75.78514862060547,77.57659398679,75.16783122272501,77.13357171386221,129554000,77.81094818115234,
72.18534851074219,73.63786746473984,70.01867883709842,71.9626330750162,222195200,77.28198928833008,
69.7402572631836,73.23840922009403,69.26819314550896,72.8559159017165,230673600,76.47172393798829,
70.84660339355469,72.11271828103145,69.35777309270347,69.36503539122887,198054800,75.81905822753906,
66.21549987792969,69.2367421970805,66.0799320227012,68.05051976988415,320605600,74.51953811645508,
66.1767349243164,67.39927568012675,62.063689342092786,62.279149784822394,426510000,73.27254638671874,
72.33786010742188,72.9745487284491,67.2322571583197,68.33617091013136,341397200,72.63973388671874,
70.04047393798828,73.59430228856515,69.18832465692095,73.51441698741223,319475600,71.92122344970703,
73.28924560546875,73.44902354050599,70.9627984910642,71.76410400685508,219178400,71.41574630737304,
70.9119873046875,72.51701474039015,70.54643429218783,71.5414063518363,187572800,70.75291595458984,
69.97026062011719,70.40359752261656,68.08198888011519,68.26839282499563,226176800,70.17142715454102,
64.43614196777344,67.3218077915113,63.6687248096994,63.8502896142898,286744800,69.39650650024414,
69.07693481445312,69.3432313409943,65.21081458081115,67.09183070037263,285290000,69.33017425537109,
66.6778793334961,68.07956216167183,65.81362880191305,67.15237416724361,255598800,68.91330184936524,
60.0931282043457,65.36335211068649,60.037449346112034,61.95961666217629,418474000,68.30106468200684,
67.29277038574219,67.76484191547881,61.235766409905956,64.12628289000264,370732000,68.41266822814941,73.94198966979981
58.635765075683594,62.7197589173465,58.10075235573811,58.572820229839216,322423600,67.04245872497559,73.6639347076416
61.21398162841797,62.363888604538765,57.71340983694092,59.9188176066588,324056000,66.15980949401856,73.45154838562011
59.71546936035156,60.521617752082875,57.403542823432716,58.04507418797264,300233600,64.80243186950683,73.19774421691895
59.25791931152344,61.20913545401907,58.732592172693536,59.88976507646557,271857200,63.63702507019043,72.94159950256348
55.49591064453125,60.964643798375334,55.195722054414446,59.83893935589746,401693200,62.18959007263184,72.58702949523926
54.31694793701172,55.31676638458161,51.47001196844014,55.2150904957698,336752800,61.17767066955567,72.17777336120605
59.76630401611328,59.962393449772364,56.720856028881734,57.21955352533474,287531200,60.24660758972168,71.87412300109864
59.437068939208984,62.518828553443576,59.14172316127237,60.70318009593795,303602000,59.522526550292966,71.5318635559082
62.564823150634766,62.62292153490078,59.640418371654654,59.679153090462734,252087200,59.76969604492187,71.27283302307129
59.9744987487793,61.94265908510833,59.80745850642363,61.18735053944383,204216800,59.037868881225585,70.9684683227539
61.6860466003418,61.85792960202071,60.376358043352745,60.700756687792804,167976400,59.34289703369141,70.67949638366699
